City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,bikenibeu village,1.3673,173.1241,78.76,94,100,2.3,KI,1702586020
349,arkhangel'sk,64.5401,40.5433,10.51,85,40,8.95,RU,1702585952
350,sitten,46.2291,7.3594,45.86,87,40,2.3,CH,1702586020
351,touros,-5.1989,-35.4608,80.19,73,56,14.65,BR,1702586020
352,northfield,44.4583,-93.1616,54.32,45,0,14.97,US,1702586020
353,stephenville,32.2207,-98.2023,61.77,59,0,11.5,US,1702586020
354,pangai,-19.8,-174.35,80.71,78,75,11.5,TO,1702586021
355,bom jesus da lapa,-13.255,-43.4181,92.26,12,0,5.91,BR,1702586021
356,aykhal,66.0,111.5,-17.25,98,100,5.86,RU,1702586021
357,tromso,69.6496,18.957,23.02,63,0,16.11,NO,1702586021
358,gadzhiyevo,69.2551,33.3362,3.85,99,79,10.4,RU,1702586021
359,swan hill,-35.3378,143.5544,63.36,55,0,8.66,AU,1702586021
360,al kharijah,25.4514,30.5464,61.81,54,0,7.76,EG,1702586022
361,sorong,-0.8833,131.25,81.01,79,100,4.61,ID,1702586022
